tempChr,C,C7,Cm,C°,C4,C?,C#,C#7,C#m,C#°,C#4,C#?,D,D7,Dm,D°,D4,D?,D#,D#7,D#m,D#°,D#4,D#?,E,E7,Em,E°,E4,E?,F,F7,Fm,F°,F4,F?,F#,F#7,F#m,F#°,F#4,F#?,G,G7,Gm,G°,G4,G?,G#,G#7,G#m,G#°,G#4,G#?,A,A7,Am,A°,A4,A?,A#,A#7,A#m,A#°,A#4,A#?,B,B7,Bm,B°,B4,B?,?
Am,2,0,7,0,0,0,0,1,0,0,0,0,0,53,20,0,1,0,3,0,0,1,0,0,0,1,6,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,2,0,8,0,0,0,6,10,2,7,0,0,0,2,0,10,2,0,1,0,0,2,2,0,0,4,8,1,0,0,0
A°,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A#,7,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,5,10,0,0,0,0,0,2,6,0,0,0,4,3,2,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,10,0,2,0,0,4,6,0,0,0,1,4,0,0,0,0,0
A#7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,6,9,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,4,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
A#m,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
A#°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
A#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
A#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,1,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B7,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,17,14,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0
Bm,0,0,1,2,0,0,0,3,0,0,0,0,0,12,0,0,0,0,1,1,2,0,0,0,0,44,9,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,3,5,0,0,0,8,0,15,0,0,0
B°,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
B?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
